Key,Value
esu-s : su-,"able.a.01, able.s.03, able.s.02, good.s.09, good.s.21, able.s.04, good.s.13, good.s.20, good.s.19, good.a.01, good.a.03, good.s.18, good.s.17, good.s.16, good.s.06, good.s.12, good.s.15, good.s.07, good.n.02, good.n.03, good.n.01"
neḱ-,"dying.a.01, death.n.08, death.n.01, death.n.06, death.n.02, death.n.03, death.n.05, death.n.04"
2.*(s)ker-{1},"cut.s.03, cut.a.01, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, cut.n.20, cut.n.19, cut.n.18, trim.n.04, cut.n.17, cut.n.16, cut.n.15, cut.n.14, cut.n.03, cut.n.11, scratch.n.10, scratch.n.09, cut.n.10, cut.n.08, cut.n.02, cut.n.06, scratch.n.04, cut.n.01, trim.n.03, cut.n.05, cut.n.04, trim.n.01, cut.v.40, cut.v.39, cut.v.36, trim.v.09, cut.v.35, cut.v.34, cut.v.33, cut.v.32, cut.v.30, scratch.v.02, cut.v.29, cut.v.28, scratch.v.07, cut.v.08, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, trim.v.06, trim.v.02, cut.v.23, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, cut.v.18, cut.v.17, cut.v.16, cut.v.15, cut.v.14, cut.v.13, cut.v.05, cut.v.11, trim.v.05, trim.v.04"
2.*tend-{1},"cut.s.03, cut.a.01, split.s.02, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, cut.n.20, cut.n.19, cut.n.18, cut.n.17, cut.n.16, split.n.01, split.n.09, cut.n.15, cut.n.14, cut.n.03, cut.n.11, split.n.08, cut.n.10, cut.n.08, cut.n.02, split.n.07, cut.n.06, split.n.06, split.n.04, split.n.03, cut.n.01, split.n.02, cut.n.05, cut.n.04, cut.v.40, cut.v.39, cut.v.36, cut.v.35, cut.v.34, cut.v.33, cut.v.32, cut.v.30, cut.v.29, cut.v.28, cut.v.08, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, cut.v.23, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, cut.v.18, cut.v.17, cut.v.16, cut.v.15, cut.v.14, cut.v.13, cut.v.05, cut.v.11"
3. bʰer-,"cut.s.03, cut.a.01, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, cut.n.20, cut.n.19, cut.n.18, cut.n.17, cut.n.16, cut.n.15, cut.n.14, cut.n.03, cut.n.11, cut.n.10, cut.n.08, cut.n.02, scrape.n.03, scrape.n.01, cut.n.06, cut.n.01, cut.n.05, cut.n.04, cut.v.40, cut.v.39, cut.v.36, cut.v.35, cut.v.34, cut.v.33, cut.v.32, cut.v.30, scrape.v.01, cut.v.29, cut.v.28, scrape.v.05, cut.v.08, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, cut.v.23, scrape.v.02, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, cut.v.18, cut.v.17, cut.v.16, cut.v.15, scrape.v.04, cut.v.14, cut.v.13, cut.v.05, cut.v.11"
"1. bʰrē̆u-, bʰrū̆-","cut.s.03, cut.a.01, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, cut.n.20, cut.n.19, cut.n.18, cut.n.17, cut.n.16, cut.n.15, cut.n.14, cut.n.03, cut.n.11, cut.n.10, cut.n.08, cut.n.02, cut.n.06, pierce.n.01, cut.n.01, cut.n.05, cut.n.04, cut.v.40, cut.v.39, cut.v.36, cut.v.35, cut.v.34, cut.v.33, cut.v.32, cut.v.30, cut.v.29, cut.v.28, cut.v.08, pierce.v.05, pierce.v.04, pierce.v.01, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, cut.v.23, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, pierce.v.02, cut.v.18, cut.v.17, cut.v.16, cut.v.15, cut.v.14, cut.v.13, pierce.v.03, cut.v.05, cut.v.11"
"2. er(e)k-, rek-, rok-","cut.s.03, cut.a.01, split.s.02, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, cut.n.20, cut.n.19, cut.n.18, cut.n.17, cut.n.16, split.n.01, split.n.09, cut.n.15, cut.n.14, cut.n.03, cut.n.11, split.n.08, cut.n.10, cut.n.08, cut.n.02, split.n.07, cut.n.06, split.n.06, split.n.04, split.n.03, cut.n.01, split.n.02, cut.n.05, cut.n.04, cut.v.40, cut.v.39, cut.v.36, cut.v.35, cut.v.34, cut.v.33, cut.v.32, cut.v.30, cut.v.29, cut.v.28, cut.v.08, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, cut.v.23, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, cut.v.18, cut.v.17, cut.v.16, cut.v.15, cut.v.14, cut.v.13, cut.v.05, cut.v.11"
"kāu-, kəu-","cut.s.03, cut.a.01, cut.a.06, cut.a.02, cut.s.09, cut.s.08, cut.s.07, hit.n.01, hit.n.03, cut.n.20, hit.n.02, hit.n.07, cut.n.19, cut.n.18, cut.n.17, cut.n.16, cut.n.15, cut.n.14, hit.n.06, cut.n.03, cut.n.11, hit.n.05, cut.n.10, cut.n.08, cut.n.02, cut.n.06, cut.n.01, cut.n.05, cut.n.04, cut.v.40, cut.v.39, cut.v.36, cut.v.35, cut.v.34, cut.v.33, cut.v.32, hit.v.17, hit.v.16, hit.v.15, hit.v.05, cut.v.30, hit.v.02, cut.v.29, cut.v.28, hit.v.03, hit.v.01, cut.v.08, cut.v.01, cut.v.26, cut.v.04, cut.v.25, cut.v.24, cut.v.07, cut.v.23, cut.v.22, cut.v.06, cut.v.21, cut.v.20, cut.v.19, cut.v.18, cut.v.17, cut.v.16, cut.v.15, cut.v.14, hit.v.12, hit.v.09, cut.v.13, cut.v.05, cut.v.11"
1. an-,"relative.a.01, relative.n.02, ancestor.n.01, relative.n.01"
su̯omb(ʰ)o-s,"spongy.s.02, porous.a.02, spongy.s.01, porous.s.01"
las-,"greedy.s.03, covetous.s.01"
preg-,"greedy.s.03, violent.s.03, violent.s.02, violent.a.01"
"men(e)gʰ-, mon(e)gʰ-, mn̥gʰ-","abundant.a.01, copious.s.01, excessive.s.01, many.a.01, excessive.s.02"
"bʰenǵʰ-, bʰn̥ǵʰ-, adj. bʰn̥ǵʰú-s","thick.s.10, dense.s.04, thick.s.02, fat.a.01, fat.s.05, dense.s.03, thick.s.07, dense.s.02, fat.s.04, thick.a.01, fat.s.02, thick.a.03, dense.s.01, thick.r.02, fat.n.01"
dʰeb-,"thick.s.10, heavy.s.07, thick.s.02, heavy.s.26, heavy.s.25, heavy.s.23, fat.a.01, fat.s.05, heavy.s.22, heavy.s.21, heavy.s.20, heavy.a.01, heavy.s.19, heavy.a.04, heavy.a.02, heavy.a.09, heavy.a.08, heavy.s.18, heavy.a.03, heavy.s.15, thick.s.07, fat.s.04, thick.a.01, fat.s.02, heavy.s.13, heavy.s.12, thick.a.03, heavy.s.10, heavy.r.01, thick.r.02, heavy.n.02, heavy.n.01, fat.n.01"
gʷretso-,"thick.s.10, big.s.13, thick.s.02, big.s.05, gross.s.03, gross.s.02, big.s.12, big.s.11, big.s.10, big.s.02, big.s.04, thick.s.07, gross.a.01, big.s.08, big.s.06, thick.a.01, thick.a.03, big.r.04, big.r.03, big.r.01, thick.r.02, gross.n.02, gross.n.01, gross.v.01"
polo- : pōlo-,"thick.s.10, big.s.13, thick.s.02, big.s.05, fat.a.01, fat.s.05, big.s.12, big.s.11, big.s.10, big.s.02, big.s.04, thick.s.07, fat.s.04, big.s.08, big.s.06, thick.a.01, fat.s.02, thick.a.03, big.r.04, big.r.03, big.r.01, thick.r.02, fat.n.01"
