root,meaning,derivative,derivative meaning,language,form,dictionary
*rei̯k̑-{0},"tear, break (intr.)","?[ved. Präs. riśáte, liśáte ‘reißt ab (tr.)’{6}",NYI,NYI,NYI,liv
*rei̯p-{0},"(fall) down, (tear) down",[gr. ἔριπε ‘stürzte nieder’{2},NYI,NYI,NYI,liv
*rek̑s-{1},damage,gr. ἐρέχθω ‘zermürbe’{2},NYI,NYI,NYI,liv
*rep-{0},"tear, pluck (itself)",?[gr. hom. ep. ἀν-ηρέψαντο ‘sie rissen hoch’{1},NYI,NYI,NYI,liv
*reu̯g-{0},"burping, vomiting",[gr. ἔρυγον ‘erbrach’{1},NYI,NYI,NYI,liv
*(k/k̑ei̯h₂-{1},set in motion,"[gr. ἔκιε ‘setzte sich in Bewegung, ging (weg)’{2}, κίατο· ἐκινεῖτο Hsch. ‘bewegte sich’{3}",NYI,NYI,NYI,liv
*dʰerbʰ-{1},become firm/stiff,[ksl. u-strъbe ‘wurde reif’,NYI,NYI,NYI,liv
*gʷesh₂-{1},extinguish,"[ved. dasat ‘verschmachtet(e)’, jásamāna- = dásamāna- ‘hungrig, verschmachtend’{2}",NYI,NYI,NYI,liv
*gʷʰh₂el-{1},"stumble, misstep","ved. (AB) skhalate ‘strauchelt, stolpert’",NYI,NYI,NYI,liv
*kedh₂-,"shatter, disperse","[gr. ἐσκέδασα, ἐκέδασσα ‘zerstreute’",NYI,NYI,NYI,liv
*kelh₁-{1},"dry out, wither",gr. att. ἀπ-έσκλη ‘verdorrte’{2},NYI,NYI,NYI,liv
*keng/g̑-{1},limping,pāli khañjati ‘hinkt’{2},NYI,NYI,NYI,liv
*kerH-{1},"separate, divide",[umbr. kartu ‘soll verteilen’{2},NYI,NYI,NYI,liv
*kerb-{1},"to bend, shrink","[an. skreppa ‘ausrutschen, sich zurückziehen’, mhd. (+) schrimpfen ‘schrumpfen’{3}; [ahd. (+) rimpfan ‘einschrumpfen’{4}",NYI,NYI,NYI,liv
*kerbʰ-{1},be sharp,"ae. sceorfan ‘abnagen, beißen’{3}",NYI,NYI,NYI,liv
*kerp-,"cut off, pluck off","[lat. carpō, -ere ‘rupfen, pflücken’{2}",NYI,NYI,NYI,liv
*kers-{0},"scratch, (wool) card","[lat. carrō, -ere ‘Wolle krempeln’{1}",NYI,NYI,NYI,liv
*kert-{1},(zer)schneiden,[ved. ví ákr̥tas ‘hast zerschnitten’,NYI,NYI,NYI,liv
*keu̯d-,(vor)antreiben,ved. codāmi ‘treibe an’,NYI,NYI,NYI,liv
*keu̯h₁-{1},"perceive, look",[ved. (KS) ā-kuváte ‘beabsichtigt’,NYI,NYI,NYI,liv
*kreb-{1},"scrape, scratch",[kymr. craf- ‘kratzen’{2},NYI,NYI,NYI,liv
*ku̯eh₁t-,"shake, jolt",?[gr. πῆ ‘streute’{2},NYI,NYI,NYI,liv
*leu̯g-{1},swallow,[gr. λυγγανώμενον· λύζοντα ἐν τῷ κλαίειν Hsch. ‘schluchzend’{2},NYI,NYI,NYI,liv
*neh₂-{1},"bathe, swim","?heth. sanzi, sanhanzi ‘spülen, benetzen’{2}",NYI,NYI,NYI,liv
*peh₂-,(to) pull out,?[gr. ἔσπασα ‘zog (heraus)’{1},NYI,NYI,NYI,liv
*penh₁-{1},"pull, tighten","[arm. hani ‘webte, nähte zusammen’{2}",NYI,NYI,NYI,liv
*prengʰ-,jump,?[aksl. -pręže ‘spannte an’,NYI,NYI,NYI,liv
*reg/g̑-{1},(to) dye,"ved. (AV) rajyate ‘färbt sich, rötet sich’",NYI,NYI,NYI,liv
*teg-{1},"cover, cover","gr. στέγω ‘(be)decke, schütze’",NYI,NYI,NYI,liv
*tei̯g-{1},"sting, be sharp","[ved. téjate ‘ist scharf, sticht (jmdn.)’{2}",NYI,NYI,NYI,liv
*tenh₂-{1},thunder,ved. ní(ṣ) ṣṭanihi ‘donnere heraus!’{2},NYI,NYI,NYI,liv
*terg̑ʰ-{1},zerschlagen’ (?) [UNKNOWN],heth. istar(ak)zi ‘macht krank’,NYI,NYI,NYI,liv
*teu̯g-{1},get into violent motion,?[ved. Präs. Ptz. Akt. tujánt- ‘sich heftig bewegend’{2},NYI,NYI,NYI,liv
*teu̯p-,"push, hit","kluw. dūpiti, lyk. tubidi ‘schlägt’{1}",NYI,NYI,NYI,liv
*trep-{1},lärmen,"lat. strepō, -ere ‘lärmen, schreien, rauschen’",NYI,NYI,NYI,liv
*u̯endʰ-{1},"wither, fade","[aksl. pri-svęde ‘verdorrte, verwelkte’",NYI,NYI,NYI,liv
*Hedʰ-{1},to say,"ved. ā́ha, āhúr ‘sagt, sagen’{2}",NYI,NYI,NYI,liv
*Hei̯g-{1},move (vigorously?),[ved. iṅgáyati ‘versetzt in Bewegung’{2},NYI,NYI,NYI,liv
*Hei̯g̑ʰ-{1},to desire,"[ved. (VS) sam-ī́hase ‘erstrebst, begehrst’",NYI,NYI,NYI,liv
*Hei̯k̑-{1},to appropriate oneself,?oss. is-/es- ‘nehmen’{2a},NYI,NYI,NYI,liv
*Herd-,to waver or falter,ved. Ipv. r̥dántu ‘sollen ins Schwanken kommen’,NYI,NYI,NYI,liv
*Hers-{1},to push / to collide,[ved. r̥ṣáti ‘stößt’{2},NYI,NYI,NYI,liv
*Hi̯ag̑-{1},to adore; to worship,"ved. yájate ‘opfert, verehrt’",NYI,NYI,NYI,liv
*Hi̯eh₁-{1},to throw,"heth. pi-yezzi ‘schickt hin’, u-yezzi ‘schickt her’{2}; heth. (i)ēzzi, kluw. ati, lyk. adi ‘macht’{3}",NYI,NYI,NYI,liv
*Hi̯eu̯dʰ-{1},get into motion (without changing location),ved. Konj. yodhat ‘soll (be)kämpfen’{2},NYI,NYI,NYI,liv
*Hmelk̑-{1},"to stroke, to touch","[ved. mr̥śáti ‘berührt, faßt an; befaßt sich mit’{2}",NYI,NYI,NYI,liv
*Hnedʰ-{1},to bind,[ved. náhyanti ‘binden’{2},NYI,NYI,NYI,liv
*Hu̯er-{1},"include, put, insert","?ved. (ápa, ví) ā́var ‘hat geöffnet’{3}",NYI,NYI,NYI,liv
*Knei̯gʷʰ-{1},to incline; to lean,"got. hneiwan, ahd. (+) nīgan ‘sich neigen’",NYI,NYI,NYI,liv
*TerKh₂-{1},"let, allow, leave","toch.B carka, A cärk ‘ließ (zu/ab), entließ’",NYI,NYI,NYI,liv
*bʰag-{1},to receive as a share,[gr. ἔφαγον ‘aß (auf)’{3},NYI,NYI,NYI,liv
*bʰedʰh₂-{1},"stinging, digging",?[heth. paddai ‘gräbt’{2},NYI,NYI,NYI,liv
*bʰeg-{1},brechen (transitive),arm. ebek ‘brach’{2},NYI,NYI,NYI,liv
*bʰegʷ-,"run away, flee","[aksl. -běgъ ‘lief, floh’",NYI,NYI,NYI,liv
*bʰeh₁dʰ-{1},to harass,"ved. bā́dhate ‘drängt, bedrängt’{2}",NYI,NYI,NYI,liv
*bʰeh₁g̑ʰ-{1},"to become annoyed, to get into an argument","ahd. bāgan ‘streiten, schelten’{2}",NYI,NYI,NYI,liv
*bʰeh₃g-,"fry, roast","[gr. att. φώγω ‘brate, röste’",NYI,NYI,NYI,liv
*bʰei̯H-{0},to hit,?[alat. Konj. perfines ‘du sollst zerschlagen’{1},NYI,NYI,NYI,liv
*bʰei̯d-,split; divide,ved. abhet ‘hat gespalten’{1},NYI,NYI,NYI,liv
*bʰei̯dʰ-,"confide in oneself, gain trust",[gr. ἐπιθόμην ‘gehorchte’,NYI,NYI,NYI,liv
*bʰei̯h₂-{0},to become afraid,ved. mā́ bhema ‘laß uns nicht in Furcht geraten!’{1},NYI,NYI,NYI,liv
*bʰelg̑ʰ-{1},to swell,ae. (+) belgan ‘zürnen’{3},NYI,NYI,NYI,liv
*bʰendʰ-{1},to bind,got. (+) bindan ‘binden’,NYI,NYI,NYI,liv
*bʰeng̑ʰ-,"tight, fasten","aav. də-bązaitī, jav. bązaiti ‘festigt’{2}",NYI,NYI,NYI,liv
*bʰer-,"carry, bring","ved. bhárti ‘trägt’{2}, 2d Ipv. (YV) bhartám/bhr̥tám ‘bringt!’{3}",NYI,NYI,NYI,liv
*bʰerH-{1},process with sharp tools,"[alit. barti ‘schilt’{4}, [lit. barù, (bárti) ‘schelten’, refl. ‘sich zanken’{5}",NYI,NYI,NYI,liv
*bʰerg̑-{1},"fry, roast",ved. (< mi.) bhr̥jjáti ‘röstet’{2},NYI,NYI,NYI,liv
*bʰerg̑ʰ-{1},"rise, elevate oneself",heth. parktaru ‘soll sich erheben’,NYI,NYI,NYI,liv
*bʰerh₂-{1},move quickly,"heth. parahzi ‘hetzt, greift an’{2}",NYI,NYI,NYI,liv
*bʰeru̯-{1},"boiling, seething","lat. feruō, -ere ‘sieden, wallen’",NYI,NYI,NYI,liv
*bʰeu̯dʰ-,"wake up, become attentive",ved. 3p Inj. Med. budhánta ‘sie erwachen’{2},NYI,NYI,NYI,liv
*bʰeu̯gʰ-{1},to bend oneself.,[ved. pari-bhuját ‘umschlingt’{3},NYI,NYI,NYI,liv
*bʰleg/g̑-,shine; sparkle,"[gr. φλέγω ‘entzünde, verbrenne; brenne, leuchte’{1}",NYI,NYI,NYI,liv
*bʰleh₁-,howl,"[lat. fleō, flēre ‘weinen’,## [lat. flō, flāre ‘blasen, (Metall) gießen’{2}",NYI,NYI,NYI,liv
*bʰleh₃-{1},to bloom,ae. (+) blōwan ‘blühen’,NYI,NYI,NYI,liv
*bʰlei̯g̑-,to hit,"lat. fligō, -ere ‘schlage’{1}",NYI,NYI,NYI,liv
*bʰreg/g̑-{1},to break (intransitive),"[lat. frangō, -ere ‘etw. (zer)brechen’{3}",NYI,NYI,NYI,liv
