root,meaning
*(h₁)rei̯k̑-{0},tear
*(h₁)rei̯k̑-{0},break (intr.)
*(h₁)rei̯p-{0},(fall) down
*(h₁)rei̯p-{0},(tear) down
*(h₁)rek̑s-{1},damage
*(h₁)rep-{0},tear
*(h₁)rep-{0},pluck (itself)
*(h₁)reu̯g-{0},burping
*(h₁)reu̯g-{0},vomiting
*(k/k̑ei̯h₂-{1},set in motion
*(s)dʰerbʰ-{1},become firm/stiff
*(s)gʷesh₂-{1},extinguish
*(s)gʷʰh₂el-{1},stumble
*(s)gʷʰh₂el-{1},misstep
*(s)kedh₂-,shatter
*(s)kedh₂-,disperse
*(s)kelh₁-{1},dry out
*(s)kelh₁-{1},wither
*(s)keng/g̑-{1},limping
*(s)kerH-{1},separate
*(s)kerH-{1},divide
*(s)kerb-{1},to bend
*(s)kerb-{1},shrink
*(s)kerbʰ-{1},be sharp
*(s)kerp-,cut off
*(s)kerp-,pluck off
*(s)kers-{0},scratch
*(s)kers-{0},(wool) card
*(s)kert-{1},(zer)schneiden
*(s)keu̯d-,(vor)antreiben
*(s)keu̯h₁-{1},perceive
*(s)keu̯h₁-{1},look
*(s)kreb-{1},scrape
*(s)kreb-{1},scratch
*(s)ku̯eh₁t-,shake
*(s)ku̯eh₁t-,jolt
*(s)leu̯g-{1},swallow
*(s)neh₂-{1},bathe
*(s)neh₂-{1},swim
*(s)peh₂-,(to) pull out
*(s)penh₁-{1},pull
*(s)penh₁-{1},tighten
*(s)prengʰ-,jump
*(s)reg/g̑-{1},(to) dye
*(s)teg-{1},cover
*(s)teg-{1},cover
*(s)tei̯g-{1},sting
*(s)tei̯g-{1},be sharp
*(s)tenh₂-{1},thunder
*(s)terg̑ʰ-{1},zerschlagen’ (?) [UNKNOWN]
*(s)teu̯g-{1},get into violent motion
*(s)teu̯p-,push
*(s)teu̯p-,hit
*(s)trep-{1},lärmen
*(s)u̯endʰ-{1},wither
*(s)u̯endʰ-{1},fade
*Hedʰ-{1},to say
*Hei̯g-{1},move (vigorously?)
*Hei̯g̑ʰ-{1},to desire
*Hei̯k̑-{1},to appropriate oneself
*Herd-,to waver or falter
*Hers-{1},to push / to collide
*Hi̯ag̑-{1},to adore; to worship
*Hi̯eh₁-{1},to throw
*Hi̯eu̯dʰ-{1},get into motion (without changing location)
*Hmelk̑-{1},to stroke
*Hmelk̑-{1},to touch
*Hnedʰ-{1},to bind
*Hu̯er-{1},include
*Hu̯er-{1},put
*Hu̯er-{1},insert
*Knei̯gʷʰ-{1},to incline; to lean
*TerKh₂-{1},let
*TerKh₂-{1},allow
*TerKh₂-{1},leave
*bʰag-{1},to receive as a share
*bʰedʰh₂-{1},stinging
*bʰedʰh₂-{1},digging
*bʰeg-{1},brechen (transitive)
*bʰegʷ-,run away
*bʰegʷ-,flee
*bʰeh₁dʰ-{1},to harass
*bʰeh₁g̑ʰ-{1},to become annoyed
*bʰeh₁g̑ʰ-{1},to get into an argument
*bʰeh₃g-,fry
*bʰeh₃g-,roast
*bʰei̯H-{0},to hit
*bʰei̯d-,split; divide
*bʰei̯dʰ-,confide in oneself
*bʰei̯dʰ-,gain trust
*bʰei̯h₂-{0},to become afraid
*bʰelg̑ʰ-{1},to swell
*bʰendʰ-{1},to bind
*bʰeng̑ʰ-,tight
*bʰeng̑ʰ-,fasten
*bʰer-,carry
*bʰer-,bring
*bʰerH-{1},process with sharp tools
*bʰerg̑-{1},fry
*bʰerg̑-{1},roast
*bʰerg̑ʰ-{1},rise
*bʰerg̑ʰ-{1},elevate oneself
*bʰerh₂-{1},move quickly
*bʰeru̯-{1},boiling
*bʰeru̯-{1},seething
*bʰeu̯dʰ-,wake up
*bʰeu̯dʰ-,become attentive
*bʰeu̯gʰ-{1},to bend oneself.
*bʰleg/g̑-,shine; sparkle
*bʰleh₁-,howl
*bʰleh₃-{1},to bloom
*bʰlei̯g̑-,to hit
*bʰreg/g̑-{1},to break (intransitive)
*bʰreh₁g̑-{1},scintillate
*bʰreh₁g̑-{1},sparkle
*bʰrei̯H-,to cut
*bʰrekʷ-,crowd together
*bʰrem-{1},hum
*bʰrem-{1},roar
*bʰremH-{1},to be restless
*bʰreu̯s-{1},to break
*bʰu̯eh₂-{1},grow
*bʰu̯eh₂-{1},arise
*bʰu̯eh₂-{1},become
*deh₂(i̯)-{0},share
*deh₂p-{1},partition
*deh₂u̯-{1},caught on fire
*deh₃-,give
*dei̯h₁-{1},chase there
*dei̯h₂-{1},flash
*dek̑-,(an-
*dek̑-,auf-)nehmen
*dek̑-,wahrnehmen
*dek̑s-{1},to be capable
*dek̑s-{1},to be competent
*delgʰ-{1},to split
*delgʰ-{1},to hew
*delg̑ʰ-{1},become firm
*delh₁-{1},hew
*delh₁-{1},split
*denk̑-{1},to bite
*dens-,become proficient
*dens-,become skillful
*der-{1},tear (intrans.)
*der-{1},shatter.
*derk̑-,hinblicken
*derk̑-,erblicken [UNKNOWN]
*des-{1},find
*des-{1},encounter
*deu̯h₂-{1},join together
*deu̯k-{0},to pull/draw/move
*dregʰ-{1},to hold on/to grasp/to capture
*drep-,cut off
*drep-,tear off
*dreu̯-{1},run/walk
*du̯eH-{1},(ein)tauchen' (intr.)
*du̯ei̯-{1},to become frightened
*du̯ei̯-{1},to be scared
*dʰalh₁-{1},to well up
*dʰalh₁-{1},to sprout
*dʰeHbʰ-{1},fit; match; suit
*dʰebʰ-{1},reduce
*dʰegʷʰ-,treat with fire
*dʰegʷʰ-,burn (transitive)
*dʰegʷʰh₂-{1},come close: almost reach
*dʰegʷʰh₂-{1},pass by
*dʰeh₁(i̯)-,suck (breast milk)
*dʰeh₁-{0},place
*dʰeh₁-{0},lay
*dʰeh₁-{0},set; produce
*dʰeh₁-{0},make
*dʰei̯H-{1},consider
*dʰei̯Hgʷ-{1},insert
*dʰei̯Hgʷ-{1},stab
*dʰei̯g̑ʰ-,brush
*dʰei̯g̑ʰ-,knead
*dʰelbʰ-,dig
*dʰelbʰ-,hollow out
*dʰenh₂-,to get going
*dʰenh₂-,to make a run for it
*dʰer-,secure
*dʰer-,fix
*dʰerg̑ʰ-,(to) turn (oneself)
*dʰerh₃-,jump
*dʰerh₃-,mount
*dʰers-,Gather courage
*dʰeu̯-,run
*dʰeu̯-,hurry
*dʰeu̯H-,quickly move back and forth
*dʰeu̯H-,shake
*dʰeu̯gʰ-,meet/encounter
*dʰgʷʰei̯-{1},(disappear or perish) due to heat
*dʰgʷʰei̯-{1},to go under
*dʰmeH-{1},blow
*dʰrebʰ-,to separate
*dʰrebʰ-,to settle
*dʰrebʰ-,to curdle
*dʰregʰ/g̑ʰ-{0},to drag
*dʰregʰ/g̑ʰ-{0},to pull
*dʰreh₂gʰ-,to be agitated
*dʰreh₂gʰ-,to be stirred up
*dʰreu̯bʰ-{1},break
*dʰreu̯bʰ-{1},crumble
*dʰu̯eh₂-{1},to make smoke
*dʰu̯en-,sound
*dʰu̯enH-{1},smoking
*dʰu̯ens-{1},dissipate
*dʰu̯ens-{1},crumble
*dʰu̯es-{1},(inhale
*dʰu̯es-{1},exhale) breathe
*g(ʷ)eH(i̯)-{1},sing
*g(ʷ)eg̑ʰ-{1},(into the water) penetrate
