half-seas-over.s.01,British informal for `intoxicated'
beatified.s.01,Roman Catholic; proclaimed one of the blessed and thus worthy of veneration
bocce.n.01,Italian bowling played on a long narrow dirt court
mah-jongg.n.01,Chinese game played by 4 people with 144 tiles
square_dance.n.01,American country dancing in which couples form squares
swiz.n.01,British slang for a swindle
dekko.n.01,British slang for a look
borodino.n.01,"Napoleon defeated the Russians in 1812 in a pitched battle at a village in western Russia west of Moscow, but irreparably weakened his army"
eniwetok.n.02,World War II (February 1944); American infantry landed and captured a Japanese stronghold
lepanto.n.01,Turkish sea power was destroyed in 1571 by a league of Christian nations organized by the Pope
leuctra.n.01,Thebes defeated Sparta in 371 BC; the battle ended Sparta's military supremacy in Greece
pharsalus.n.01,Caesar defeated Pompey in 48 BC
philippi.n.02,Octavian and Mark Antony defeated Brutus and Cassius in 42 BC
saipan.n.02,US forces captured the island from the Japanese in July 1944; it was an important air base until the end of World War II
wilderness_campaign.n.01,American Civil War; a series of indecisive battles in Grant's campaign (1864) against Lee in which both armies suffered terrible losses
arab-israeli_war.n.01,Egypt and Syria attacked Israel in October 1973 (on Yom Kippur); Israel counterattacked and drove the Syrians back and crossed the Suez Canal into Egypt
russo-japanese_war.n.01,Japanese victory in the war with Russia (1904-1905) gave Japan power over Korea and Manchuria
war_of_the_austrian_succession.n.01,Prussia and Austria fought over Silesia and most of the rest of Europe took sides; 1740-1748
chlamydiaceae.n.01,Gram-negative parasites in warm-blooded vertebrates
diplococcus.n.01,Gram-positive bacteria usually occurring in pairs
abramis.n.01,European fishes
european_bream.n.01,European freshwater fish having a flattened body and silvery scales; of little value as food
chub.n.01,European freshwater game fish with a thick spindle-shaped body
roach.n.05,European freshwater food fish having a greenish back
rudd.n.01,European freshwater fish resembling the roach
crucian_carp.n.01,European carp closely resembling wild goldfish
redhorse.n.01,North American sucker with reddish fins
john_dory.n.01,European dory
soupfin_shark.n.01,Pacific shark valued for its fins (used by Chinese in soup) and liver (rich in vitamin A)
honey_eater.n.01,Australasian bird with tongue and bill adapted for extracting nectar
wagtail.n.01,Old World bird having a very long tail that jerks up and down as it walks
brambling.n.01,Eurasian finch
red_siskin.n.01,South American species of scarlet finch with black head and wings and tail
new_world_goldfinch.n.01,American finch whose male has yellow body plumage in summer
purple_finch.n.01,North American finch having a raspberry-red head and breast and rump
serinus.n.01,Old World finches; e.g. canaries and serins
genus_junco.n.01,American finches
melospiza.n.01,American song sparrow and swamp sparrow
swamp_sparrow.n.01,North American finch of marshy area
emberiza.n.01,Old World buntings
reed_bunting.n.01,European bunting inhabiting marshy areas
yellowhammer.n.02,European bunting the male being bright yellow
tree_sparrow.n.01,Eurasian sparrow smaller than the house sparrow
evening_grosbeak.n.01,North American grosbeak
drepanididae.n.01,Hawaiian honeycreepers
lyrebird.n.01,Australian bird that resembles a pheasant; the courting male displays long tail feathers in a lyre shape
tyranni.n.01,New World flycatchers; antbirds; oven birds; woodhewers
tyrannidae.n.01,New World tyrant flycatchers most numerous in Central America and South America but also in the United States and Canada
muscicapidae.n.01,Old World (true) flycatchers
thickhead.n.01,Australian and southeastern Asian birds with a melodious whistling call
ring_ouzel.n.01,European thrush common in rocky areas; the male has blackish plumage with a white band around the neck
hylocichla.n.01,American thrush: wood thrush; hermit thrush; veery
hermit_thrush.n.01,North American thrush noted for its complex and appealing song
nightingale.n.01,European songbird noted for its melodious nocturnal song
saxicola.n.01,Old World chats
phoenicurus.n.01,Old World thrushes
redstart.n.02,European songbird with a reddish breast and tail; related to Old World robins
sialia.n.01,North American bluebirds
erithacus.n.01,Old World thrushes
polioptila.n.01,New World gnatcatchers
goldcrest.n.01,European kinglet with a black-bordered yellow crown patch
gold-crowned_kinglet.n.01,American golden-crested kinglet
ruby-crowned_kinglet.n.01,American kinglet with a notable song and in the male a red crown patch
lesser_whitethroat.n.01,Old World warbler similar to the greater whitethroat but smaller
wood_warbler.n.02,European woodland warbler with dull yellow plumage
parulidae.n.01,New World warblers
cape_may_warbler.n.01,North American wood warbler; olive green and yellow striped with black
blackpoll.n.01,North American warbler having a black-and-white head
icteria.n.01,New World chats
yellow-breasted_chat.n.01,American warbler noted for imitating songs of other birds
ovenbird.n.01,American warbler; builds a dome-shaped nest on the ground
icteridae.n.01,American orioles; American blackbirds; bobolinks; meadowlarks
new_world_oriole.n.01,American songbird; male is black and orange or yellow
meadowlark.n.01,North American songbirds having a yellow breast
rusty_blackbird.n.01,North American blackbird whose bluish-black plumage is rusty-edged in the fall
cowbird.n.01,North American blackbird that follows cattle and lays eggs in other birds' nests
red-winged_blackbird.n.01,North American blackbird with scarlet patches on the wings
oriolidae.n.01,Old World orioles
sturnidae.n.01,Old World starlings
cyanocitta.n.01,New World jays
perisoreus.n.01,Canada jays
common_nutcracker.n.01,Old World nutcracker
cracticidae.n.01,Australian birds formerly included in the family Laniidae
long-billed_marsh_wren.n.01,American wren that inhabits tall reed beds
thryothorus.n.01,Carolina wrens
catbird.n.02,North American songbird whose call resembles a cat's mewing
cliff_swallow.n.01,North American swallow that lives in colonies and builds bottle-shaped mud nests on cliffs and walls
wood_swallow.n.01,Australasian and Asiatic bird related to the shrikes and resembling a swallow
red-shouldered_hawk.n.01,North American hawk with reddish brown shoulders
honey_buzzard.n.01,Old World hawk that feeds on bee larvae and small rodents and reptiles
marsh_harrier.n.01,Old World harrier frequenting marshy regions
carancha.n.01,South American caracara
california_condor.n.01,North American condor; chiefly dull black; almost extinct
black_vulture.n.01,American vulture smaller than the turkey buzzard
old_world_scops_owl.n.01,European scops owl
oriental_scops_owl.n.01,Asian scops owl
spotted_salamander.n.02,European salamander having dark skin with usually yellow spots
taricha.n.01,Pacific newts
ambystomatidae.n.01,New World salamanders
olm.n.01,European aquatic salamander with permanent external gills that lives in caves
tarahumara_frog.n.01,Mexican frog found within a jump or two of water
leptodactylidae.n.01,New World frogs; in some classifications essentially coextensive with the family Bufonidae
polypedatidae.n.01,Old World tree frogs
eurasian_green_toad.n.01,Eurasian toad with variable chiefly green coloring
obstetrical_toad.n.01,European toad whose male carries the fertilized eggs wrapped around its hind legs until they hatch
scaphiopus.n.01,New World spadefoot toads
malaclemys.n.01,American terrapins
pygopodidae.n.01,Australian and Tasmanian lizards
iguanidae.n.01,New World lizards
anolis.n.01,New World chameleons
eumeces.n.01,New World skinks
lacertidae.n.01,Old World lizards
lacertid_lizard.n.01,Old World terrestrial lizard
