Key,Value
*(h₁)rei̯p-{0},(fall) down
*(h₁)reu̯g-{0},burping
*(k/k̑ei̯h₂-{1},set in motion
*kʷi̯eu̯-{1},set in motion
3. er- : or- : r-,to move
kēi-,to move
*(s)dʰerbʰ-{1},become firm/stiff
*(s)kelh₁-{1},wither
3. (s)kel-,to parch
?*u̯ei̯(H)-{1},wither
"2. u̯ei-, u̯ei̯ə- : u̯ī̆-",to wizen
*(s)keng/g̑-{1},limping
*h₂enk-,to bend
*ku̯elp-,to arch
2.*leu̯g/g̑-,to bend
?*g(ʷ)eu̯bʰ-{1},to bend
?*lenk-{1},to bend
?*u̯enk-{1},to curl
kam-p-,to bend
"2. keu-, keu̯ə-",to bend
2. leik-,to bend
lenk-,to bend
1. leug-,to bend
2. nem-,to bend
prā-,to bend
"4. u̯eik-, u̯eig-, extended form of u̯ei-",curve; exchange
"u̯ek-, u̯e-n-k-",to bend
*(s)kerbʰ-{1},be sharp
*(s)kerp-,pluck off
*drep-,tear off
*(s)kert-{1},(zer)schneiden
*(s)keu̯d-,(vor)antreiben
*(s)peh₂-,(to) pull out
*(s)reg/g̑-{1},(to) dye
*(s)terg̑ʰ-{1},zerschlagen’ (?) [UNKNOWN]
*(s)teu̯g-{1},get into violent motion
*(s)trep-{1},lärmen
*Hedʰ-{1},to say
*u̯ekʷ-,to say
*u̯erh₁-,to say
*u̯eth₂-{1},to say
2.*h₂eg̑-{1},to say
2.*sekʷ-,to say
?*gʷet-{1},to say
*Hei̯g-{1},move (vigorously?)
*Hei̯g̑ʰ-{1},to desire
1.*keh₂-{1},to desire
gʰeidʰ-,yearn for
gʰeiǵʰ-,yearn for
gʰeldʰ-,wish for
1. ǵʰer-,yearn for
*Hei̯k̑-{1},to appropriate oneself
*Herd-,to waver or falter
?*k(ʷ)seu̯bʰ-{1},to waver or falter
*Hers-{1},to push / to collide
*kreu̯s-,to push / to collide
*stengʷ-,to push / to collide
*treu̯d-,to push / to collide
*u̯edʰh₁-{1},to push / to collide
1.*(s)teu̯d-,to push / to collide
?2.*neu̯d-{1},to push / to collide
*Hi̯ag̑-{1},to adore; to worship
*h₂ei̯sd-{1},to adore; to worship
*Hi̯eh₁-{1},to throw
*seu̯p-{1},to throw
*u̯ergʷ-{1},to throw
2.*dei̯k̑-{1},to throw
?*k̑u̯eH-{1},to throw
?3.*su̯ei̯d-{1},to throw
"smeit-, smit-",to throw
"2. su̯ep-, sup-, su̯eb-",to throw
*Hi̯eu̯dʰ-{1},get into motion (without changing location)
*Hmelk̑-{1},to touch
1.*strei̯g-,to cancel
2.*lei̯t-,to touch
?*Krei̯H-{1},to touch
*Hnedʰ-{1},to bind
*bʰendʰ-{1},to bind
*lei̯g̑-{1},to bind
*rei̯g/g̑-{1},to bind
1.*deh₁-,to bind
?2.*k(ʷ)ert-{1},to bind
"reḱ-, reǵ-",to bind
"1. tu̯ā̆k-, tuk-",close up
"1. u̯er-, also su̯er-",attach; strive
*Knei̯gʷʰ-{1},to incline; to lean
*bʰag-{1},to receive as a share
*bʰedʰh₂-{1},stinging
*bʰeg-{1},brechen (transitive)
bʰegʷ-,to flee
